CourseTitle,Section,CrsPBADiv,CrsLvlNum,PCT,NComb,CrsPBADept,Instructors,Hours,RAP,Subject_Label,Workload,CrsPBAColl,Level,NIntrFCQ,AvgInstructor,N,Instruction_Mode,AVG_GRD,Course,AvgCourse,YearTerm,Subject,Honors,Activity_Type
Introduction to Statistical Orbit Determination 1,002,,5XXX,"{u'A': 0.62, u'C': 0.06, u'B': 0.29, u'WDRAW': 0.03, u'D': 0, u'F': 0.03, u'DF': 0.03, u'INCOMP': 0.06, u'GRADE': 0.94, u'C_MINUS_OR_BELOW': 0.03}",1,ASEN,"[{u'group': u'1 TTT', u'name': u'BORN, GEORGE H', u'title': u'PROFESSOR'}]",3,0,Aerospace Engineering,"{u'Hrs_Wk': u'13-15', u'Raw': u'4.71'}",EN,Masters,1,5.37,"{u'ENROLL': 37, u'GRADE': 34, u'PASS': 0, u'INCOMP': 2, u'Ret': 27, u'NOCRED': 0, u'EOT': 36}",P  - In Person,3.42,5070,5.23,20137,ASEN,0,LEC - Lecture
Introduction to Global Navigation Satellite Systems,001,,5XXX,"{u'A': 0.97, u'C': 0, u'B': 0.03, u'WDRAW': 0, u'D': 0, u'F': 0, u'DF': 0, u'INCOMP': 0, u'GRADE': 1, u'C_MINUS_OR_BELOW': 0}",1,ASEN,"[{u'group': u'1 TTT', u'name': u'LARSON, KRISTINE M', u'title': u'PROFESSOR'}]",3,0,Aerospace Engineering,"{u'Hrs_Wk': u'7-9', u'Raw': u'2.96'}",EN,Masters,1,4.23,"{u'ENROLL': 34, u'GRADE': 34, u'PASS': 0, u'INCOMP': 0, u'Ret': 26, u'NOCRED': 0, u'EOT': 34}",P  - In Person,3.87,5090,4.12,20137,ASEN,0,LEC - Lecture
Space Habitat Design,001,,5XXX,"{u'A': 0.85, u'C': 0, u'B': 0.15, u'WDRAW': 0, u'D': 0, u'F': 0, u'DF': 0, u'INCOMP': 0, u'GRADE': 1, u'C_MINUS_OR_BELOW': 0}",1,ASEN,"[{u'group': u'1 TTT', u'name': u'KLAUS, DAVID M', u'title': u'ASSOCIATE PROFESSOR'}]",3,0,Aerospace Engineering,"{u'Hrs_Wk': u'7-9', u'Raw': u'2.89'}",EN,Masters,1,5.58,"{u'ENROLL': 26, u'GRADE': 26, u'PASS': 0, u'INCOMP': 0, u'Ret': 19, u'NOCRED': 0, u'EOT': 26}",P  - In Person,3.79,5158,5.37,20137,ASEN,0,LEC - Lecture
Mathematics for Aerospace Engineering Sciences 1,001,,5XXX,"{u'A': 0.74, u'C': 0, u'B': 0.26, u'WDRAW': 0.04, u'D': 0, u'F': 0, u'DF': 0, u'INCOMP': 0, u'GRADE': 1, u'C_MINUS_OR_BELOW': 0}",1,ASEN,"[{u'group': u'1 TTT', u'name': u'ARGROW, BRIAN M', u'title': u'PROFESSOR'}]",3,0,Aerospace Engineering,"{u'Hrs_Wk': u'7-9', u'Raw': u'3.12'}",EN,Masters,1,5.23,"{u'ENROLL': 28, u'GRADE': 27, u'PASS': 0, u'INCOMP': 0, u'Ret': 17, u'NOCRED': 0, u'EOT': 27}",P  - In Person,3.64,5227,4.47,20137,ASEN,0,LEC - Lecture
Numerical Methods in Engineering and Science,002,,5XXX,"{u'A': 0.92, u'C': 0, u'B': 0.08, u'WDRAW': 0.08, u'D': 0, u'F': 0, u'DF': 0, u'INCOMP': 0, u'GRADE': 1, u'C_MINUS_OR_BELOW': 0}",2,ASEN,"[{u'group': u'1 TTT', u'name': u'BIRINGEN, SEDAT', u'title': u'PROFESSOR'}]",3,0,Aerospace Engineering,"{u'Hrs_Wk': u'10-12', u'Raw': u'4.33'}",EN,Masters,1,4.54,"{u'ENROLL': 13, u'GRADE': 12, u'PASS': 0, u'INCOMP': 0, u'Ret': 11, u'NOCRED': 0, u'EOT': 12}",P  - In Person,3.84,5417,4.64,20137,ASEN,0,LEC - Lecture
Special Topics,004,,6XXX,"{u'A': 0.75, u'C': 0, u'B': 0.25, u'WDRAW': 0.05, u'D': 0, u'F': 0, u'DF': 0, u'INCOMP': 0.06, u'GRADE': 0.89, u'C_MINUS_OR_BELOW': 0}",1,ASEN,"[{u'group': u'1 TTT', u'name': u'SCHEERES, DANIEL J.', u'title': u'PROFESSOR'}]",3,0,Aerospace Engineering,"{u'Hrs_Wk': u'10-12', u'Raw': u'3.60'}",EN,Masters,1,5,"{u'ENROLL': 19, u'GRADE': 16, u'PASS': 0, u'INCOMP': 1, u'Ret': 15, u'NOCRED': 0, u'EOT': 18}",P  - In Person,3.66,6519,4.53,20137,ASEN,0,LEC - Lecture
Creative Technology,010,,1XXX,"{u'A': 0.31, u'C': 0.15, u'B': 0.49, u'WDRAW': 0, u'D': 0.04, u'F': 0.02, u'DF': 0.06, u'INCOMP': 0, u'GRADE': 1, u'C_MINUS_OR_BELOW': 0.08}",2,CHEN,"[{u'group': u'2 Other reg', u'name': u'DE GRAZIA, JANET', u'title': u'SENIOR INSTRUCTOR'}]",3,0,Chemical Engineering,"{u'Hrs_Wk': u'4-6', u'Raw': u'1.90'}",EN,Lower,1,5.09,"{u'ENROLL': 267, u'GRADE': 265, u'PASS': 0, u'INCOMP': 1, u'Ret': 161, u'NOCRED': 0, u'EOT': 266}",P  - In Person,3.03,1000,4.78,20137,CHEN,0,LEC - Lecture
General Chemistry for Engineers,001,,1XXX,"{u'A': 0.45, u'C': 0.12, u'B': 0.35, u'WDRAW': 0.03, u'D': 0.05, u'F': 0.02, u'DF': 0.07, u'INCOMP': 0, u'GRADE': 1, u'C_MINUS_OR_BELOW': 0.11}",1,CHEN,"[{u'group': u'1 TTT', u'name': u'MUSGRAVE, CHARLES BRUCE', u'title': u'ASSOCIATE PROFESSOR'}]",3,0,Chemical Engineering,"{u'Hrs_Wk': u'10-12', u'Raw': u'3.87'}",EN,Lower,1,4.45,"{u'ENROLL': 308, u'GRADE': 300, u'PASS': 0, u'INCOMP': 0, u'Ret': 163, u'NOCRED': 0, u'EOT': 300}",P  - In Person,3.13,1211,4.37,20137,CHEN,0,LEC - Lecture
Chemical Engineering Material and Energy Balances,001,,2XXX,"{u'A': 0.23, u'C': 0.37, u'B': 0.16, u'WDRAW': 0.04, u'D': 0.09, u'F': 0.16, u'DF': 0.25, u'INCOMP': 0.02, u'GRADE': 0.98, u'C_MINUS_OR_BELOW': 0.3}",1,CHEN,"[{u'group': u'2 Other reg', u'name': u'DE GRAZIA, JANET', u'title': u'SENIOR INSTRUCTOR'}]",3,0,Chemical Engineering,"{u'Hrs_Wk': u'10-12', u'Raw': u'3.59'}",EN,Lower,2,5.24,"{u'ENROLL': 99, u'GRADE': 93, u'PASS': 0, u'INCOMP': 2, u'Ret': 81, u'NOCRED': 0, u'EOT': 95}",P  - In Person,2.19,2120,4.92,20137,CHEN,0,LEC - Lecture
Chemical Engineering Material and Energy Balances,002,,2XXX,"{u'A': 0.17, u'C': 0.3, u'B': 0.29, u'WDRAW': 0.04, u'D': 0.15, u'F': 0.09, u'DF': 0.24, u'INCOMP': 0.01, u'GRADE': 0.99, u'C_MINUS_OR_BELOW': 0.29}",1,CHEN,"[{u'group': u'2 Other reg', u'name': u'DE GRAZIA, JANET', u'title': u'SENIOR INSTRUCTOR'}]",3,0,Chemical Engineering,"{u'Hrs_Wk': u'10-12', u'Raw': u'3.80'}",EN,Lower,2,5.12,"{u'ENROLL': 70, u'GRADE': 66, u'PASS': 0, u'INCOMP': 1, u'Ret': 51, u'NOCRED': 0, u'EOT': 67}",P  - In Person,2.27,2120,5,20137,CHEN,0,LEC - Lecture
Applied Data Analysis,001,,3XXX,"{u'A': 0.2, u'C': 0.27, u'B': 0.43, u'WDRAW': 0, u'D': 0.05, u'F': 0.05, u'DF': 0.1, u'INCOMP': 0, u'GRADE': 1, u'C_MINUS_OR_BELOW': 0.25}",1,CHEN,"[{u'group': u'1 TTT', u'name': u'KAAR, JOEL L.', u'title': u'ASST PROFESSOR'}]",3,0,Chemical Engineering,"{u'Hrs_Wk': u'7-9', u'Raw': u'3.35'}",EN,Upper,2,5.21,"{u'ENROLL': 60, u'GRADE': 60, u'PASS': 0, u'INCOMP': 0, u'Ret': 44, u'NOCRED': 0, u'EOT': 60}",P  - In Person,2.63,3010,4.92,20137,CHEN,0,LEC - Lecture
Applied Data Analysis,003,,3XXX,"{u'A': 0.22, u'C': 0.27, u'B': 0.49, u'WDRAW': 0.02, u'D': 0, u'F': 0.02, u'DF': 0.02, u'INCOMP': 0.02, u'GRADE': 0.98, u'C_MINUS_OR_BELOW': 0.12}",1,CHEN,"[{u'group': u'1 TTT', u'name': u'CLOUGH, DAVID EDWARDS', u'title': u'PROFESSOR'}]",3,0,Chemical Engineering,"{u'Hrs_Wk': u'7-9', u'Raw': u'3.23'}",EN,Upper,1,5.16,"{u'ENROLL': 61, u'GRADE': 59, u'PASS': 0, u'INCOMP': 1, u'Ret': 32, u'NOCRED': 0, u'EOT': 60}",P  - In Person,2.88,3010,4.56,20137,CHEN,0,LEC - Lecture
Chemical Engineering Heat Transfer,001,,3XXX,"{u'A': 0.21, u'C': 0.28, u'B': 0.36, u'WDRAW': 0.01, u'D': 0.16, u'F': 0, u'DF': 0.16, u'INCOMP': 0, u'GRADE': 1, u'C_MINUS_OR_BELOW': 0.21}",1,CHEN,"[{u'group': u'1 TTT', u'name': u'RANDOLPH, THEODORE W', u'title': u'PROFESSOR'}]",3,0,Chemical Engineering,"{u'Hrs_Wk': u'10-12', u'Raw': u'3.94'}",EN,Upper,2,4.3,"{u'ENROLL': 113, u'GRADE': 112, u'PASS': 0, u'INCOMP': 0, u'Ret': 67, u'NOCRED': 0, u'EOT': 112}",P  - In Person,2.63,3210,4.29,20137,CHEN,0,LEC - Lecture
Chemical Engineering Thermodynamics,003,,3XXX,"{u'A': 0.26, u'C': 0.29, u'B': 0.44, u'WDRAW': 0, u'D': 0, u'F': 0.01, u'DF': 0.01, u'INCOMP': 0, u'GRADE': 1, u'C_MINUS_OR_BELOW': 0.11}",1,CHEN,"[{u'group': u'1 TTT', u'name': u'NAGPAL, PRASHANT', u'title': u'ASST PROFESSOR'}]",3,0,Chemical Engineering,"{u'Hrs_Wk': u'10-12', u'Raw': u'3.84'}",EN,Upper,1,3.54,"{u'ENROLL': 112, u'GRADE': 112, u'PASS': 0, u'INCOMP': 0, u'Ret': 99, u'NOCRED': 0, u'EOT': 112}",P  - In Person,2.89,3320,3.66,20137,CHEN,0,LEC - Lecture
Chemical Engineering Senior Thesis 1,901,,4XXX,"{u'A': 1, u'C': 0, u'B': 0, u'WDRAW': 0, u'D': 0, u'F': 0, u'DF': 0, u'INCOMP': 0, u'GRADE': 1, u'C_MINUS_OR_BELOW': 0}",1,CHEN,"[{u'group': u'1 TTT', u'name': u'STOYKOVICH, MARK P.', u'title': u'ASST PROFESSOR'}]",2,0,Chemical Engineering,"{u'Hrs_Wk': u'', u'Raw': u''}",EN,Upper,,,"{u'ENROLL': 17, u'GRADE': 17, u'PASS': 0, u'INCOMP': 0, u'Ret': u'', u'NOCRED': 0, u'EOT': 17}",IS - Independent Study,4,4010,,20137,CHEN,0,IND - Ind Study
Senior Seminar,001,,4XXX,"{u'A': 0.98, u'C': 0.01, u'B': 0.01, u'WDRAW': 0.01, u'D': 0, u'F': 0, u'DF': 0, u'INCOMP': 0, u'GRADE': 1, u'C_MINUS_OR_BELOW': 0}",1,CHEN,"[{u'group': u'2 Other reg', u'name': u'YOUNG, WENDY MORES', u'title': u'INSTRUCTOR'}]",1,0,Chemical Engineering,"{u'Hrs_Wk': u'0-3', u'Raw': u'1.04'}",EN,Upper,1,4.89,"{u'ENROLL': 94, u'GRADE': 93, u'PASS': 0, u'INCOMP': 0, u'Ret': 54, u'NOCRED': 0, u'EOT': 93}",P  - In Person,3.96,4090,4.24,20137,CHEN,0,SEM - Seminar
Chemical Engineering Laboratory 2,800,,4XXX,"{u'A': 0.65, u'C': 0.12, u'B': 0.24, u'WDRAW': 0, u'D': 0, u'F': 0, u'DF': 0, u'INCOMP': 0, u'GRADE': 1, u'C_MINUS_OR_BELOW': 0}",1,CHEN,"[{u'group': u'1 TTT', u'name': u'STOYKOVICH, MARK P.', u'title': u'ASST PROFESSOR'}]",2,1,Chemical Engineering,"{u'Hrs_Wk': u'10-12', u'Raw': u'4.00'}",EN,Upper,1,5.83,"{u'ENROLL': 17, u'GRADE': 17, u'PASS': 0, u'INCOMP': 0, u'Ret': 6, u'NOCRED': 0, u'EOT': 17}",P  - In Person,3.51,4130,5,20137,CHEN,0,MLS - Main Lab
Chemical Engineering Laboratory 2,801,,4XXX,"{u'A': 0.59, u'C': 0, u'B': 0.41, u'WDRAW': 0, u'D': 0, u'F': 0, u'DF': 0, u'INCOMP': 0, u'GRADE': 1, u'C_MINUS_OR_BELOW': 0}",1,CHEN,"[{u'group': u'2 Other reg', u'name': u'YOUNG, WENDY MORES', u'title': u'INSTRUCTOR'}]",2,1,Chemical Engineering,"{u'Hrs_Wk': u'10-12', u'Raw': u'4.00'}",EN,Upper,1,3.8,"{u'ENROLL': 17, u'GRADE': 17, u'PASS': 0, u'INCOMP': 0, u'Ret': 10, u'NOCRED': 0, u'EOT': 17}",P  - In Person,3.54,4130,3.9,20137,CHEN,0,MLS - Main Lab
Polymer Chemistry,010,,4XXX,"{u'A': 0.52, u'C': 0, u'B': 0.48, u'WDRAW': 0.04, u'D': 0, u'F': 0, u'DF': 0, u'INCOMP': 0, u'GRADE': 1, u'C_MINUS_OR_BELOW': 0}",2,CHEN,"[{u'group': u'1 TTT', u'name': u'BOWMAN, CHRISTOPHER', u'title': u'DISTINGUISHED PROFESSOR'}]",3,0,Chemical Engineering,"{u'Hrs_Wk': u'10-12', u'Raw': u'3.78'}",EN,Upper,2,5.37,"{u'ENROLL': 26, u'GRADE': 25, u'PASS': 0, u'INCOMP': 0, u'Ret': 23, u'NOCRED': 0, u'EOT': 25}",P  - In Person,3.51,4450,5.16,20137,CHEN,0,LEC - Lecture
Chemical Process Synthesis,001,,4XXX,"{u'A': 0.41, u'C': 0.05, u'B': 0.55, u'WDRAW': 0, u'D': 0, u'F': 0, u'DF': 0, u'INCOMP': 0, u'GRADE': 1, u'C_MINUS_OR_BELOW': 0}",1,CHEN,"[{u'group': u'2 Other reg', u'name': u'NUTTELMAN, CHARLES RAYMOND', u'title': u'INSTRUCTOR'}]",3,0,Chemical Engineering,"{u'Hrs_Wk': u'10-12', u'Raw': u'4.19'}",EN,Upper,1,4.96,"{u'ENROLL': 44, u'GRADE': 44, u'PASS': 0, u'INCOMP': 0, u'Ret': 23, u'NOCRED': 0, u'EOT': 44}",P  - In Person,3.27,4520,4.48,20137,CHEN,0,LEC - Lecture
Chemical Process Synthesis,002,,4XXX,"{u'A': 0.43, u'C': 0, u'B': 0.57, u'WDRAW': 0, u'D': 0, u'F': 0, u'DF': 0, u'INCOMP': 0, u'GRADE': 1, u'C_MINUS_OR_BELOW': 0}",1,CHEN,"[{u'group': u'2 Other reg', u'name': u'BELVAL, THOMAS K.', u'title': u'SENIOR INSTRUCTOR'}]",3,0,Chemical Engineering,"{u'Hrs_Wk': u'10-12', u'Raw': u'4.27'}",EN,Upper,1,5.1,"{u'ENROLL': 51, u'GRADE': 51, u'PASS': 0, u'INCOMP': 0, u'Ret': 30, u'NOCRED': 0, u'EOT': 51}",P  - In Person,3.45,4520,4.53,20137,CHEN,0,LEC - Lecture
Biological Engineering Laboratory,800,,4XXX,"{u'A': 0.65, u'C': 0, u'B': 0.35, u'WDRAW': 0, u'D': 0, u'F': 0, u'DF': 0, u'INCOMP': 0, u'GRADE': 1, u'C_MINUS_OR_BELOW': 0}",1,CHEN,"[{u'group': u'3 Supp', u'name': u'MAHONEY, MELISSA J', u'title': u'ASST PROFESSOR-RESEARCH'}]",2,1,Chemical Engineering,"{u'Hrs_Wk': u'7-9', u'Raw': u'2.81'}",EN,Upper,1,5.76,"{u'ENROLL': 17, u'GRADE': 17, u'PASS': 0, u'INCOMP': 0, u'Ret': 17, u'NOCRED': 0, u'EOT': 17}",P  - In Person,3.7,4810,4.65,20137,CHEN,0,MLS - Main Lab
Biological Engineering Laboratory,801,,4XXX,"{u'A': 0.57, u'C': 0, u'B': 0.43, u'WDRAW': 0, u'D': 0, u'F': 0, u'DF': 0, u'INCOMP': 0, u'GRADE': 1, u'C_MINUS_OR_BELOW': 0}",1,CHEN,"[{u'group': u'1 TTT', u'name': u'BRYANT, STEPHANIE J', u'title': u'ASSOCIATE PROFESSOR'}]",2,1,Chemical Engineering,"{u'Hrs_Wk': u'7-9', u'Raw': u'3.17'}",EN,Upper,1,5.35,"{u'ENROLL': 21, u'GRADE': 21, u'PASS': 0, u'INCOMP': 0, u'Ret': 20, u'NOCRED': 0, u'EOT': 21}",P  - In Person,3.57,4810,4.15,20137,CHEN,0,MLS - Main Lab
Biochemical Separations,001,,4XXX,"{u'A': 0.69, u'C': 0.06, u'B': 0.23, u'WDRAW': 0, u'D': 0.02, u'F': 0, u'DF': 0.02, u'INCOMP': 0, u'GRADE': 1, u'C_MINUS_OR_BELOW': 0.06}",1,CHEN,"[{u'group': u'2 Other reg', u'name': u'BELVAL, THOMAS K.', u'title': u'SENIOR INSTRUCTOR'}]",3,0,Chemical Engineering,"{u'Hrs_Wk': u'7-9', u'Raw': u'2.97'}",EN,Upper,1,5.31,"{u'ENROLL': 52, u'GRADE': 52, u'PASS': 0, u'INCOMP': 0, u'Ret': 32, u'NOCRED': 0, u'EOT': 52}",P  - In Person,3.57,4820,5.06,20137,CHEN,0,LEC - Lecture
Special Topics in Chemical Engineering,005,,4XXX,"{u'A': 0.31, u'C': 0.03, u'B': 0.66, u'WDRAW': 0.03, u'D': 0, u'F': 0, u'DF': 0, u'INCOMP': 0, u'GRADE': 0.97, u'C_MINUS_OR_BELOW': 0}",2,CHEN,"[{u'group': u'1 TTT', u'name': u'CHA, JENNIFER N', u'title': u'ASSOCIATE PROFESSOR'}]",3,0,Chemical Engineering,"{u'Hrs_Wk': u'4-6', u'Raw': u'2.41'}",EN,Upper,1,5.09,"{u'ENROLL': 31, u'GRADE': 29, u'PASS': 0, u'INCOMP': 0, u'Ret': 22, u'NOCRED': 0, u'EOT': 30}",P  - In Person,3.27,4838,4.82,20137,CHEN,0,LEC - Lecture
Seminar in Chemical Engineering,002,,5XXX,"{u'A': u'', u'C': u'', u'B': u'', u'WDRAW': u'', u'D': u'', u'F': u'', u'DF': u'', u'INCOMP': u'', u'GRADE': u'', u'C_MINUS_OR_BELOW': u''}",1,CHEN,"[{u'group': u'1 TTT', u'name': u'KAAR, JOEL L.', u'title': u'ASST PROFESSOR'}]",1,0,Chemical Engineering,"{u'Hrs_Wk': u'', u'Raw': u''}",EN,Masters,,,"{u'ENROLL': 22, u'GRADE': u'', u'PASS': 22, u'INCOMP': 0, u'Ret': u'', u'NOCRED': 0, u'EOT': 22}",P  - In Person,,5090,,20137,CHEN,0,SEM - Seminar
Research Methods and Ethics Seminar,003,,5XXX,"{u'A': 1, u'C': 0, u'B': 0, u'WDRAW': 0, u'D': 0, u'F': 0, u'DF': 0, u'INCOMP': 0, u'GRADE': 1, u'C_MINUS_OR_BELOW': 0}",1,CHEN,"[{u'group': u'1 TTT', u'name': u'RANDOLPH, THEODORE W', u'title': u'PROFESSOR'}]",1,0,Chemical Engineering,"{u'Hrs_Wk': u'0-3', u'Raw': u'1.00'}",EN,Masters,1,5,"{u'ENROLL': 19, u'GRADE': 19, u'PASS': 0, u'INCOMP': 0, u'Ret': 1, u'NOCRED': 0, u'EOT': 19}",P  - In Person,4,5343,3,20137,CHEN,0,LEC - Lecture
Intermediate Chemical Engineering Thermodynamics,001,,5XXX,"{u'A': 0.46, u'C': 0.04, u'B': 0.5, u'WDRAW': 0, u'D': 0, u'F': 0, u'DF': 0, u'INCOMP': 0, u'GRADE': 1, u'C_MINUS_OR_BELOW': 0}",1,CHEN,"[{u'group': u'1 TTT', u'name': u'GOODWIN, ANDREW PRATT', u'title': u'ASST PROFESSOR'}]",3,0,Chemical Engineering,"{u'Hrs_Wk': u'10-12', u'Raw': u'3.59'}",EN,Masters,2,4.07,"{u'ENROLL': 28, u'GRADE': 28, u'PASS': 0, u'INCOMP': 0, u'Ret': 23, u'NOCRED': 0, u'EOT': 28}",P  - In Person,3.47,5370,3.29,20137,CHEN,0,LEC - Lecture
Chemical Reactor Engineering,002,,5XXX,"{u'A': 0.42, u'C': 0.04, u'B': 0.54, u'WDRAW': 0, u'D': 0, u'F': 0, u'DF': 0, u'INCOMP': 0, u'GRADE': 1, u'C_MINUS_OR_BELOW': 0}",1,CHEN,"[{u'group': u'1 TTT', u'name': u'FALCONER, JOHN L', u'title': u'PROFESSOR'}]",3,0,Chemical Engineering,"{u'Hrs_Wk': u'13-15', u'Raw': u'4.52'}",EN,Masters,2,4.15,"{u'ENROLL': 24, u'GRADE': 24, u'PASS': 0, u'INCOMP': 0, u'Ret': 23, u'NOCRED': 0, u'EOT': 24}",P  - In Person,3.36,5390,4.02,20137,CHEN,0,LEC - Lecture
Analytical Methods in Chemical Engineering,001,,5XXX,"{u'A': 0.28, u'C': 0, u'B': 0.72, u'WDRAW': 0, u'D': 0, u'F': 0, u'DF': 0, u'INCOMP': 0, u'GRADE': 1, u'C_MINUS_OR_BELOW': 0}",1,CHEN,"[{u'group': u'1 TTT', u'name': u'JAYARAMAN, ARTHI', u'title': u'ASST PROFESSOR'}]",3,0,Chemical Engineering,"{u'Hrs_Wk': u'10-12', u'Raw': u'3.61'}",EN,Masters,2,5.5,"{u'ENROLL': 25, u'GRADE': 25, u'PASS': 0, u'INCOMP': 0, u'Ret': 25, u'NOCRED': 0, u'EOT': 25}",P  - In Person,3.26,5740,5.43,20137,CHEN,0,LEC - Lecture
Computer Science as a Field of Work and Study,001,,1XXX,"{u'A': 0.71, u'C': 0.07, u'B': 0.15, u'WDRAW': 0.07, u'D': 0.01, u'F': 0.07, u'DF': 0.08, u'INCOMP': 0, u'GRADE': 1, u'C_MINUS_OR_BELOW': 0.12}",1,CSCI,"[{u'group': u'1 TTT', u'name': u'LEWIS, CLAYTON H', u'title': u'PROFESSOR'}]",1,0,Computer Science,"{u'Hrs_Wk': u'0-3', u'Raw': u'1.15'}",EN,Lower,1,5.02,"{u'ENROLL': 81, u'GRADE': 75, u'PASS': 0, u'INCOMP': 0, u'Ret': 50, u'NOCRED': 0, u'EOT': 75}",P  - In Person,3.37,1000,3.78,20137,CSCI,0,LEC - Lecture
Computer Science 1: Starting Computing,010,,1XXX,"{u'A': 0.31, u'C': 0.18, u'B': 0.27, u'WDRAW': 0.14, u'D': 0.09, u'F': 0.15, u'DF': 0.24, u'INCOMP': 0.02, u'GRADE': 0.98, u'C_MINUS_OR_BELOW': 0.31}",1,CSCI,"[{u'group': u'4 TA Cred', u'name': u'LAMARCHE, JEFFREY STEVEN', u'title': u'GRAD PART-TIME INSTRUCTOR'}]",4,0,Computer Science,"{u'Hrs_Wk': u'7-9', u'Raw': u'3.30'}",EN,Lower,1,3.75,"{u'ENROLL': 148, u'GRADE': 126, u'PASS': 0, u'INCOMP': 2, u'Ret': 85, u'NOCRED': 0, u'EOT': 128}",P  - In Person,2.42,1300,3.8,20137,CSCI,0,LEC - Lecture
Computer Science 1: Starting Computing,100,,1XXX,"{u'A': 0.47, u'C': 0.15, u'B': 0.23, u'WDRAW': 0.06, u'D': 0.07, u'F': 0.09, u'DF': 0.16, u'INCOMP': 0, u'GRADE': 1, u'C_MINUS_OR_BELOW': 0.2}",1,CSCI,"[{u'group': u'2 Other reg', u'name': u'HOENIGMAN, RHONDA OLCOTT', u'title': u'INSTRUCTOR'}]",4,0,Computer Science,"{u'Hrs_Wk': u'7-9', u'Raw': u'2.78'}",EN,Lower,1,4.77,"{u'ENROLL': 355, u'GRADE': 331, u'PASS': 0, u'INCOMP': 1, u'Ret': 174, u'NOCRED': 0, u'EOT': 332}",P  - In Person,2.89,1300,4.77,20137,CSCI,0,LEC - Lecture
Computer Science 2: Data Structures,010,,2XXX,"{u'A': 0.45, u'C': 0.15, u'B': 0.29, u'WDRAW': 0.14, u'D': 0.05, u'F': 0.05, u'DF': 0.11, u'INCOMP': 0, u'GRADE': 1, u'C_MINUS_OR_BELOW': 0.15}",1,CSCI,"[{u'group': u'2 Other reg', u'name': u'WHITE, ELIZABETH K.', u'title': u'INSTRUCTOR'}]",4,0,Computer Science,"{u'Hrs_Wk': u'10-12', u'Raw': u'3.82'}",EN,Lower,1,5.14,"{u'ENROLL': 85, u'GRADE': 73, u'PASS': 0, u'INCOMP': 0, u'Ret': 43, u'NOCRED': 0, u'EOT': 73}",P  - In Person,3.01,2270,4.91,20137,CSCI,0,LEC - Lecture
Computer Science 2: Data Structures,100,,2XXX,"{u'A': 0.42, u'C': 0.2, u'B': 0.29, u'WDRAW': 0.08, u'D': 0.02, u'F': 0.07, u'DF': 0.09, u'INCOMP': 0, u'GRADE': 0.99, u'C_MINUS_OR_BELOW': 0.15}",1,CSCI,"[{u'group': u'2 Other reg', u'name': u'WHITE, ELIZABETH K.', u'title': u'INSTRUCTOR'}]",4,0,Computer Science,"{u'Hrs_Wk': u'7-9', u'Raw': u'3.47'}",EN,Lower,1,4.94,"{u'ENROLL': 112, u'GRADE': 102, u'PASS': 0, u'INCOMP': 0, u'Ret': 69, u'NOCRED': 0, u'EOT': 103}",P  - In Person,2.96,2270,4.77,20137,CSCI,0,LEC - Lecture
Computer Systems,010,,2XXX,"{u'A': 0.24, u'C': 0.2, u'B': 0.5, u'WDRAW': 0.05, u'D': 0.03, u'F': 0.03, u'DF': 0.06, u'INCOMP': 0.01, u'GRADE': 0.99, u'C_MINUS_OR_BELOW': 0.08}",1,CSCI,"[{u'group': u'1 TTT', u'name': u'HAN, RICHARD YEHWHEI', u'title': u'ASSOCIATE PROFESSOR'}]",4,0,Computer Science,"{u'Hrs_Wk': u'10-12', u'Raw': u'3.87'}",EN,Lower,1,4.19,"{u'ENROLL': 135, u'GRADE': 127, u'PASS': 0, u'INCOMP': 1, u'Ret': 83, u'NOCRED': 0, u'EOT': 128}",P  - In Person,2.87,2400,4.2,20137,CSCI,0,LEC - Lecture
Linear Algebra with Computer Science Applications,001,,2XXX,"{u'A': 0.35, u'C': 0.13, u'B': 0.43, u'WDRAW': 0.04, u'D': 0.07, u'F': 0.02, u'DF': 0.09, u'INCOMP': 0, u'GRADE': 1, u'C_MINUS_OR_BELOW': 0.11}",1,CSCI,"[{u'group': u'1 TTT', u'name': u'JESSUP, ELIZABETH R', u'title': u'PROFESSOR'}]",3,0,Computer Science,"{u'Hrs_Wk': u'7-9', u'Raw': u'2.63'}",EN,Lower,1,3.17,"{u'ENROLL': 48, u'GRADE': 46, u'PASS': 0, u'INCOMP': 0, u'Ret': 36, u'NOCRED': 0, u'EOT': 46}",P  - In Person,3,2820,3.31,20137,CSCI,0,LEC - Lecture
Discrete Structures,001,,2XXX,"{u'A': 0.71, u'C': 0.05, u'B': 0.21, u'WDRAW': 0.03, u'D': 0.01, u'F': 0.02, u'DF': 0.03, u'INCOMP': 0.01, u'GRADE': 0.99, u'C_MINUS_OR_BELOW': 0.03}",1,CSCI,"[{u'group': u'2 Other reg', u'name': u'HOENIGMAN, RHONDA OLCOTT', u'title': u'INSTRUCTOR'}]",3,0,Computer Science,"{u'Hrs_Wk': u'4-6', u'Raw': u'2.01'}",EN,Lower,1,3.93,"{u'ENROLL': 104, u'GRADE': 100, u'PASS': 0, u'INCOMP': 1, u'Ret': 76, u'NOCRED': 0, u'EOT': 101}",P  - In Person,3.56,2824,3.68,20137,CSCI,0,LEC - Lecture
